Route count: 115
PASS 200 /
PASS 200 /auth
PASS 200 /threejs-viewer
PASS 200 /admin-login
PASS 200 /admin
PASS 200 /admin/database
PASS 200 /admin/mods
PASS 200 /admin/i18n
PASS 200 /admin/bot-ai
PASS 200 /admin/feed
PASS 200 /admin/integrity
PASS 200 /about
PASS 200 /forums
PASS 200 /terms
PASS 200 /privacy
PASS 200 /dashboard
PASS 200 /resources
PASS 200 /power-grid
PASS 200 /facilities
PASS 200 /research
PASS 200 /skills
PASS 200 /fitting
PASS 200 /fitting-enhanced
PASS 200 /artifacts
PASS 200 /shipyard
PASS 200 /fleet
PASS 200 /army
PASS 200 /army-management
PASS 200 /training-center
PASS 200 /ground-combat
PASS 200 /civilization-management
PASS 200 /interstellar
PASS 200 /galaxy
PASS 200 /galaxy-systems
PASS 200 /galaxy-systems/1/102
PASS 200 /universe
PASS 200 /universe-generator
PASS 200 /commander
PASS 200 /government
PASS 200 /alliance
PASS 200 /market
PASS 200 /messages
PASS 200 /combat
PASS 200 /orbital-defense
PASS 200 /battle-logs
PASS 200 /exploration
PASS 200 /colonies
PASS 200 /tech-tree
PASS 200 /technology-tree
PASS 200 /expeditions
PASS 200 /blueprints
PASS 200 /megastructures
PASS 200 /megastructures/dyson
PASS 200 /megastructures/1/subsystems/1
PASS 200 /megastructures/1
PASS 200 /achievements
PASS 200 /factions
PASS 200 /empire-progression
PASS 200 /warp-network
PASS 200 /stations
PASS 200 /merchants
PASS 200 /storefront
PASS 200 /celestial-browser
PASS 200 /biome-codex
PASS 200 /biome/1
PASS 200 /diagnostics
PASS 200 /story-mode
PASS 200 /season-pass
PASS 200 /battle-pass
PASS 200 /civilization-systems
PASS 200 /relics
PASS 200 /friends
PASS 200 /guilds
PASS 200 /raids
PASS 200 /universe-events
PASS 200 /raid-bosses
PASS 200 /raid-finder
PASS 200 /empire-planets
PASS 200 /empire-view
PASS 200 /empire-command-center
PASS 200 /dimensional-hub
PASS 200 /planet/1
PASS 200 /planet-command
PASS 200 /planet-occupation
PASS 200 /research-lab
PASS 200 /trials
PASS 200 /knowledge-library
PASS 200 /research-analytics
PASS 200 /ogame-compendium
PASS 200 /leaderboard
PASS 200 /assets-gallery
PASS 200 /espionage
PASS 200 /stargate-command/overview
PASS 200 /stargate-arsenal/overview
PASS 200 /stargate-intelligence/overview
PASS 200 /stargate-market/overview
PASS 200 /stargate-worlds/overview
PASS 200 /stargate-social/overview
PASS 200 /stargate-progression/overview
PASS 200 /stargate-operations/overview
PASS 200 /stargate-systems/overview
PASS 200 /stargate-command
PASS 200 /stargate-arsenal
PASS 200 /stargate-systems
PASS 200 /stargate-market
PASS 200 /stargate-worlds
PASS 200 /stargate-social
PASS 200 /stargate-progression
PASS 200 /stargate-operations
PASS 200 /missions
PASS 200 /commerce
PASS 200 /population
PASS 200 /hazards
PASS 200 /settings
PASS 200 /server-console
Passed: 115
Failed or warned: 0
